gamesId,gamesName,location
ad,da,ad
113,MEGA Millions,Arizona
AZA,Pick 3,Arizona
101,Powerball,Arizona
AZ3,The Pick,Arizona
ARA,Cash 3 Evening,Arkansas
ARB,Cash 3 Midday,Arkansas
ARC,Cash 4 Evening,Arkansas
ARD,Cash 4 Midday,Arkansas
132,Lucky For Life,Arkansas
113,MEGA Millions,Arkansas
AR1,Natural State Jackpot,Arkansas
101,Powerball,Arkansas
AC6,Atlantic 6/49,Atlantic Canada
AC8,Bucko,Atlantic Canada
206,Daily Grand,Atlantic Canada
205,Guaranteed Million Draw,Atlantic Canada
AC2,Keno Atlantic,Atlantic Canada
201,Lotto 6/49,Atlantic Canada
203,Lotto Max,Atlantic Canada
AC9,Salsa Bingo,Atlantic Canada
AC3,Tag,Atlantic Canada
BC1,BC 49,British Columbia
206,Daily Grand,British Columbia
BC2,Extra,British Columbia
205,Guaranteed Million Draw,British Columbia
201,Lotto 6/49,British Columbia
203,Lotto Max,British Columbia
BC5,Poker Lotto,British Columbia
CAA,Daily 3 Evening,California
CAC,Daily 3 Midday,California
CAB,Daily 4,California
CA2,Fantasy 5,California
113,MEGA Millions,California
101,Powerball,California
CA1,SuperLotto Plus,California
CO2,Cash 5,Colorado
CO1,Lotto,Colorado
132,Lucky For Life,Colorado
113,MEGA Millions,Colorado
COA,Pick 3 Evening,Colorado
COB,Pick 3 Midday,Colorado
101,Powerball,Colorado
CT2,Cash 5,Connecticut
CT1,Lotto,Connecticut
132,Lucky For Life,Connecticut
CT6,Lucky Links Day,Connecticut
CT7,Lucky Links Night,Connecticut
113,MEGA Millions,Connecticut
CTA,Play3 Day,Connecticut
CTB,Play3 Night,Connecticut
CTC,Play4 Day,Connecticut
CTD,Play4 Night,Connecticut
101,Powerball,Connecticut
DCH,DC 2 Evening,DC
DCG,DC 2 Midday,DC
DCB,DC 3 Evening,DC
DCA,DC 3 Midday,DC
DCD,DC 4 Evening,DC
DCC,DC 4 Midday,DC
DCF,DC 5 Evening,DC
DCE,DC 5 Midday,DC
132,Lucky For Life,DC
113,MEGA Millions,DC
101,Powerball,DC
136,All Star Bonus,Delaware
135,Lotto America,Delaware
132,Lucky For Life,Delaware
113,MEGA Millions,Delaware
DE2,Multi-Win Lotto,Delaware
DEA,Play 3 Day,Delaware
DEB,Play 3 Night,Delaware
DEC,Play 4 Day,Delaware
DED,Play 4 Night,Delaware
101,Powerball,Delaware
134,Cash4Life,Florida
FL3,Fantasy 5,Florida
FL1,Lotto,Florida
FL0,Lotto XTRA,Florida
FL5,Lucky Money,Florida
113,MEGA Millions,Florida
FLF,Pick 2 Evening,Florida
FLE,Pick 2 Midday,Florida
FLA,Pick 3 Evening,Florida
FLC,Pick 3 Midday,Florida
FLB,Pick 4 Evening,Florida
FLD,Pick 4 Midday,Florida
FLH,Pick 5 Evening,Florida
FLG,Pick 5 Midday,Florida
101,Powerball,Florida
GA8,5 Card Cash,Georgia
GA5,All or Nothing Day,Georgia
GA6,All or Nothing Evening,Georgia
GA4,All or Nothing Morning,Georgia
GA7,All or Nothing Night,Georgia
GAB,Cash 3 Evening,Georgia
GAA,Cash 3 Midday,Georgia
GAG,Cash 3 Night,Georgia
GAH,Cash 4 Evening,Georgia
GAC,Cash 4 Midday,Georgia
GAD,Cash 4 Night,Georgia
134,Cash4Life,Georgia
GA2,Fantasy 5,Georgia
GAF,Georgia FIVE Evening,Georgia
GAE,Georgia FIVE Midday,Georgia
GA1,Jumbo Bucks Lotto,Georgia
113,MEGA Millions,Georgia
101,Powerball,Georgia
136,All Star Bonus,Idaho
ID4,Idaho Cash,Idaho
135,Lotto America,Idaho
132,Lucky For Life,Idaho
113,MEGA Millions,Idaho
IDB,Pick 3 Day,Idaho
IDA,Pick 3 Night,Idaho
101,Powerball,Idaho
ID3,Weekly Grand,Idaho
ILH,Evening 3 Fireball,Illinois
ILJ,Evening 4 Fireball,Illinois
IL4,Lotto,Illinois
IL3,LuckyDay Lotto Evening,Illinois
IL5,LuckyDay Lotto Midday,Illinois
113,MEGA Millions,Illinois
ILG,Midday 3 Fireball,Illinois
ILI,Midday 4 Fireball,Illinois
121,Pick 3 Evening,Illinois
120,Pick 3 Midday,Illinois
123,Pick 4 Evening,Illinois
122,Pick 4 Midday,Illinois
101,Powerball,Illinois
IN8,Cash 5,Indiana
134,Cash4Life,Indiana
INB,Daily 3 Evening,Indiana
INBF,Daily 3 Evening SB,Indiana
INA,Daily 3 Midday,Indiana
INAF,Daily 3 Midday SB,Indiana
